[Ramulator::ReadWriteTrace] [info] Loading trace file ../traces/l2miss_multibank.trace ...
[Ramulator::ReadWriteTrace] [info] Loaded 20000 lines.
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=1 ready2=1 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
[compare] ready1=0 ready2=0 cmd1=4 cmd2=4
